Chr	GeneID	Start	End	Symbol
1	55210	1512143	1534687	ATAD3A
1	339453	1534778	1540360	TMEM240
1	29101	1541673	1574882	SSU72
1	100128968	1543177	1543542	LOC100128968
1	643988	1598008	1600096	C1orf233
1	142678	1614969	1630610	MIB2
1	8510	1631681	1634654	MMP23B
1	984	1635226	1659839	CDK11B
1	728661	1659994	1692804	SLC35E2B
1	728642	1702730	1724352	CDK11A
1	9906	1724838	1745999	SLC35E2
1	65220	1751232	1780514	NADK
1	2782	1785285	1891117	GNB1
1	644136	1847366	1876799	LOC644136
1	728690	1863709	1864446	LOC728690
1	163688	1914827	1917294	CALML6
1	339456	1917590	1919301	TMEM52
1	85452	1921957	2003837	KIAA1751
1	2563	2019329	2030753	GABRD
1	5590	2050470	2185395	PRKCZ
1	100287750	2115806	2118698	LOC100287750
1	100506504	2181811	2184373	LOC100506504
1	199990	2184460	2212720	C1orf86
1	6497	2228695	2310213	SKI
1	100129110	2296152	2296866	LOC100129110
1	79906	2320280	2391751	MORN1
1	11079	2391775	2405444	RER1
1	5192	2404802	2412571	PEX10
1	9651	2428887	2505532	PLCH2
1	55229	2508536	2526622	PANK4
1	388585	2528745	2530245	HES5
1	8764	2556366	2563829	TNFRSF14
1	127281	2586460	2591469	FAM213B
1	79258	2590642	2633042	MMEL1
1	100287898	2641368	2789665	TTC34
1	101929067	2663390	2666954	LOC101929067
1	728702	2855916	2856542	LOC728702
1	100129346	2969643	2974149	LOC100129346
1	140625	3021482	3022903	ACTRT2
1	63976	3068497	3438621	PRDM16
1	100288479	3369079	3380141	LOC100288479
1	27237	3454583	3481113	ARHGEF16
1	1953	3487942	3611495	MEGF6
1	728717	3557637	3558486	LOC728717
1	100506635	3591416	3591970	LOC100506635
1	127262	3624992	3630131	TPRG1L
1	49856	3630767	3650107	WRAP73
1	7161	3652565	3736201	TP73
1	728750	3679064	3681150	LOC728750
1	148870	3752401	3771645	CCDC27
1	388588	3772761	3775982	SMIM1
1	57470	3780220	3796504	LRRC47
1	9731	3812081	3857233	CEP104
1	1677	3857267	3885429	DFFB
1	339448	3889133	3900293	C1orf174
1	644300	3936037	3956846	LOC644300
1	55966	4655045	4783791	AJAP1
1	100287848	4715321	4772769	LOC100287848
1	261734	5862810	5992558	NPHP4
1	8514	5992298	6101193	KCNAB2
1	26038	6101787	6180134	CHD5
1	100131864	6160103	6161095	LOC100131864
1	101928723	6161847	6165323	LOC101928723
1	6146	6185020	6199619	RPL22
1	388591	6206010	6221299	RNF207
1	23463	6221193	6235984	ICMT
1	100287356	6237172	6238508	LOC100287356
1	390992	6244192	6245578	HES3
1	387509	6247346	6260975	GPR153
1	11332	6264272	6393766	ACOT7
1	54626	6415232	6419919	HES2
1	83715	6424776	6460944	ESPN
1	8718	6461151	6466195	TNFRSF25
1	57449	6466092	6520061	PLEKHG5
1	79707	6521347	6554598	NOL9
1	80835	6555278	6579757	TAS1R1
1	3104	6579991	6589280	ZBTB48
1	9903	6590724	6602898	KLHL21
1	148479	6613696	6624033	PHF13
1	90326	6624865	6635586	THAP3
1	55735	6634168	6701906	DNAJC11
1	23261	6785324	7769706	CAMTA1
1	100505910	7110002	7111764	LOC100505910
1	727939	7351115	7352911	LOC727939
1	9341	7771269	7781432	VAMP3
1	8863	7784340	7845181	PER3
1	10911	7847612	7853491	UTS2
1	3604	7915871	7943165	TNFRSF9
1	644827	7925098	7925376	LOC644827
1	11315	7961654	7985282	PARK7
1	54206	8011719	8026333	ERRFI1
1	50651	8318111	8344167	SLC45A1
1	473	8352404	8817640	RERE
1	729124	8857462	8861895	LOC729124
1	2023	8861000	8879092	ENO1
1	148915	8867565	8877263	LOC148915
1	765	8945834	8975092	CA6
1	155184	9003300	9026345	SLC2A7
1	6518	9036946	9071704	SLC2A5
1	80045	9103410	9129170	GPR157
1	102724571	9182204	9193031	LOC102724571
1	9563	9234764	9271337	H6PD
1	80176	9292882	9369532	SPSB1
1	84275	9539469	9582773	SLC25A33
1	199953	9588874	9614877	TMEM201
1	729158	9608442	9613217	LOC729158
1	5293	9629889	9729114	PIK3CD
1	22883	9729021	9824492	CLSTN1
1	56998	9848276	9910358	CTNNBIP1
1	84328	9922110	9943402	LZIC
1	64802	9943428	9985498	NMNAT1
1	116362	9997197	10016020	RBP7
1	10277	10032983	10181239	UBE4B
1	23095	10210706	10381603	KIF1B
1	5226	10399028	10420144	PGD
1	378708	10430102	10442815	APITD1
1	100526739	10430102	10452003	APITD1-CORT
1	1325	10449719	10452003	CORT
1	1676	10460531	10472556	DFFA
1	5195	10474946	10630758	PEX14
1	54897	10636604	10796676	CASZ1
1	148345	10946473	10982037	C1orf127
1	100128223	11007042	11008334	LOC100128223
1	23435	11012622	11025492	TARDBP
1	10747	11026523	11047239	MASP2
1	6723	11054592	11060034	SRM
1	5394	11066618	11099904	EXOSC10
1	2475	11106531	11262557	MTOR
1	100128221	11158998	11162108	LOC100128221
1	10218	11189289	11195981	ANGPTL7
1	29914	11273164	11296314	UBIAD1
1	57540	11479238	11537583	PTCHD2
1	26232	11647868	11654831	FBXO2
1	93611	11654375	11663327	FBXO44
1	26270	11664093	11674354	FBXO6
1	10459	11674480	11691621	MAD2L2
1	374946	11691724	11720279	DRAXIN
1	57085	11736085	11750771	AGTRAP
1	284498	11762214	11789585	C1orf167
1	100996614	11782036	11785384	LOC100996614
1	100506086	11782036	11785384	LOC100506086
1	4524	11785730	11806103	MTHFR
1	1185	11806096	11843144	CLCN6
1	100506310	11832185	11849642	LOC100506310
1	4878	11845709	11847783	NPPA
1	4879	11857464	11858935	NPPB
1	90231	11919588	11926428	KIAA2013
1	5351	11934667	11975542	PLOD1
1	9927	11980181	12013515	MFN2
1	60672	12019242	12032049	MIIP
1	943	12063377	12144207	TNFRSF8
1	7133	12167003	12209220	TNFRSF1B
1	55187	12230056	12512047	VPS13D
1	100287581	12556354	12558314	LOC100287581
1	9249	12567910	12618361	DHRS3
1	343066	12644547	12667086	AADACL4
1	126767	12716115	12728759	AADACL3
1	93190	12746215	12761169	C1orf158
1	390999	12774848	12777906	PRAMEF12
1	65121	12791397	12796628	PRAMEF1
1	440560	12824610	12843808	PRAMEF11
1	343069	12847408	12848725	HNRNPCL1
1	65122	12857086	12861909	PRAMEF2
1	400735	12879212	12886201	PRAMEF4
1	343071	12892896	12898263	PRAMEF10
1	441871	12916647	12920480	PRAMEF7
1	440561	12938472	12947580	PRAMEF6
1	102724742	13030861	13032130	LOC102724742
1	653609	13031116	13048673	LOC653609
1	101929983	13049808	13053659	LOC101929983
1	649330	13061232	13062231	LOC649330
1	441873	13073694	13077552	PRAMEF25
1	441874	13085349	13095598	LOC441874
1	729368	13108838	13112680	PRAMEF23
1	440563	13115488	13116854	HNRNPCP5
1	645359	13149237	13153095	PRAMEF26
1	101060301	13164555	13165482	LOC101060301
1	343070	13172455	13179464	PRAMEF9
1	645375	13251733	13253725	LOC645375
1	343068	13254198	13263435	PRAMEF5
1	391002	13281304	13285137	PRAMEF8
1	645382	13305921	13308907	LOC645382
1	653619	13315581	13322595	PRAMEF15
1	401940	13328196	13331692	PRAMEF3
1	729528	13341892	13347134	PRAMEF14
1	391004	13389632	13392629	PRAMEF17
1	645425	13410450	13421328	PRAMEF20
1	126755	13474977	13513781	LRRC38
1	653622	13480024	13484131	LOC653622
1	654348	13495254	13498260	PRAMEF16
1	10630	13583757	13617957	PDPN
1	7799	13700219	13825079	PRDM2
1	23254	13893155	15118048	KAZN
1	100128068	14018800	14019721	LOC100128068
1	100128492	14020907	14021278	LOC100128492
1	55092	15152532	15220478	TMEM51
1	727684	15164196	15171624	C1orf195
1	100129042	15198113	15198835	LOC100129042
1	114827	15247234	15398271	FHAD1
1	79180	15409895	15430343	EFHD2
1	645516	15435658	15475485	LOC645516
1	11330	15438442	15446658	CTRC
1	63036	15456728	15472091	CELA2A
1	51032	15476101	15491400	CELA2B
1	842	15489723	15524912	CASP9
1	23341	15526813	15571733	DNAJC16
1	79814	15571699	15585110	AGMAT
1	729482	15608598	15609014	LOC729482
1	84301	15617458	15661057	DDI2
1	6248	15659869	15661722	RSC1A1
1	23207	15684137	15734769	PLEKHM2
1	284723	15736226	15741389	SLC25A34
1	388595	15742492	15747797	TMEM82
1	54751	15756340	15786594	FBLIM1
1	440567	15807162	15807699	UQCRHL
1	23013	15847864	15940455	SPEN
1	7709	15941869	15976132	ZBTB17
1	101928566	15976131	15997206	LOC101928566
1	149563	16004236	16006685	C1orf64
1	27129	16014028	16018790	HSPB7
1	1187	16021991	16034050	CLCNKA
1	1188	16043736	16057326	CLCNKB
1	729509	16046219	16047087	LOC729509
1	348487	16057769	16073632	FAM131C
1	100288579	16060438	16061264	LOC100288579
1	1969	16124337	16156087	EPHA2
1	100288612	16160560	16162958	LOC100288612
1	645609	16187536	16196325	LOC645609
1	128272	16198104	16212609	ARHGEF19
1	101927546	16218417	16227033	LOC101927546
1	79363	16231687	16237164	RSG1
1	54455	16246844	16352453	FBXO42
1	26099	16367030	16398148	SZRD1
1	374955	16395606	16437424	SPATA21
1	55707	16440672	16460090	NECAP2
1	101060085	16520728	16525788	LOC101060085
1	102724970	16535717	16536918	LOC102724970
1	100133301	16539066	16539703	FAM231B
1	645634	16542874	16552794	ANO7P1
1	100287973	16558195	16559516	LOC100287973
1	55672	16562427	16613605	NBPF1
1	729574	16673003	16673512	FAM231A
1	645677	16685567	16698726	LOC645677
1	102723383	16733952	16734461	LOC102723383
1	11223	16754634	16764480	MST1L
1	645711	16818033	16823603	LOC645711
1	645685	16847223	16852283	LOC645685
1	100506533	16862280	16863350	LOC100506533
1	9696	16914084	16972979	CROCC
1	4237	16974502	16981586	MFAP2
1	23400	16985958	17011972	ATP13A2
1	6390	17018722	17054170	SDHB
1	11240	17066761	17119453	PADI2
1	100288921	17196254	17198646	LOC100288921
1	29943	17205126	17246006	PADI1
1	101928613	17215033	17222476	LOC101928613
1	51702	17249098	17284233	PADI3
1	23569	17308195	17364000	PADI4
1	353238	17372246	17401699	PADI6
1	55920	17406755	17439754	RCC2
1	55160	17520197	17697875	ARHGEF10L
1	81569	17755313	17827063	ACTL8
1	84966	18107746	18378483	IGSF21
1	127707	18480930	18485999	KLHDC7A
1	5081	18631006	18748866	PAX7
1	80834	18839599	18859661	TAS1R2
1	8659	18871430	18902799	ALDH4A1
1	126917	18904280	18956332	IFFO2
1	23352	19074506	19210318	UBR4
1	729664	19155592	19156308	LOC729664
1	23065	19215664	19251559	EMC1
1	51154	19251581	19260128	MRTO4
1	643993	19279114	19280213	LOC643993
1	22977	19282563	19288786	AKR7A3
1	8574	19302708	19312146	AKR7A2
1	54896	19312246	19332431	PQLC2
1	832	19338773	19485641	CAPZB
1	440574	19596977	19629821	MINOS1
1	100532736	19596977	19658456	MINOS1-NBL1
1	4681	19643229	19658456	NBL1
1	3362	19665287	19680966	HTR6
1	100288987	19677793	19680717	LOC100288987
1	255104	19682213	19799931	TMCO4
1	54546	19814029	19815278	RNF186
1	645970	19863485	19864429	LOC645970
1	23252	19881863	19912945	OTUD3
1	30814	19920307	19923617	PLA2G2E
1	5320	19975431	19980439	PLA2G2A
1	100289050	19981813	19983834	LOC100289050
1	5322	20059650	20091901	PLA2G5
1	26279	20112650	20119566	PLA2G2D
1	64600	20139330	20150386	PLA2G2F
1	391013	20163991	20175194	PLA2G2C
1	127733	20186085	20196047	UBXN10
1	127731	20290919	20355169	VWA5B1
1	646028	20363071	20364184	LOC646028
1	55450	20482391	20486235	CAMK2N1
1	79594	20499448	20508181	MUL1
1	163933	20552439	20555020	FAM43B
1	729709	20564886	20577135	LOC729709
1	978	20588951	20618908	CDA
1	729715	20609860	20612851	LOC729715
1	65018	20633455	20651511	PINK1
1	1650	20651767	20661544	DDOST
1	57576	20663981	20718017	KIF17
1	729728	20684613	20686139	LOC729728
1	400745	20719732	20732640	SH2D5
1	50809	20742678	20787315	HP1BP3
1	729736	20750006	20751891	LOC729736
1	8672	20806292	21176888	EIF4G3
1	653706	20979545	20985897	LOC653706
1	1889	21217247	21345541	ECE1
1	84224	21440090	21484900	NBPF3
1	249	21508982	21578412	ALPL
1	5909	21596215	21669517	RAP1GAP
1	729765	21610567	21612573	LOC729765
1	728969	21627267	21631321	LOC728969
1	646155	21639047	21639939	LOC646155
1	84196	21678298	21783195	USP48
1	100289081	21755957	21758730	LOC100289081
1	401944	21812265	21825221	LDLRAD2
1	3339	21822244	21937257	HSPG2
1	23436	21976925	21989354	CELA3B
1	10136	22001656	22012542	CELA3A
1	998	22052627	22092943	CDC42
1	54361	22117305	22143026	WNT4
1	646172	22252191	22252535	LOC646172
1	101060363	22322828	22323331	LOC101060363
1	100289113	22426523	22446930	LOC100289113
1	9923	22451851	22531157	ZBTB40
1	646191	22472749	22485140	LOC646191
1	2046	22563511	22603594	EPHA8
1	712	22636625	22639682	C1QA
1	714	22643625	22648110	C1QC
1	713	22653189	22661637	C1QB
1	2048	22710770	22915330	EPHB2
1	646262	22953043	22973031	LACTBL1
1	729059	23010834	23015850	C1orf234
1	23028	23019443	23083691	KDM1A
1	7798	23084023	23168858	LUZP1
1	729827	23123571	23123822	LOC729827
1	3352	23191895	23194729	HTR1D
1	10236	23309767	23344650	HNRNPR
1	80818	23359448	23369864	ZNF436
1	6920	23381062	23424776	TCEA3
1	55616	23428563	23484257	ASAP3
1	1870	23506428	23531220	E2F2
1	729844	23542727	23543325	LOC729844
1	3399	23557930	23559794	ID3
1	6135	23691779	23696425	RPL11
1	6924	23743366	23762059	TCEB3
1	57095	23778386	23788232	PITHD1
1	11313	23791123	23795539	LYPLA2
1	2582	23795599	23800804	GALE
1	3155	23801877	23825459	HMGCL
1	2517	23845077	23868369	FUCA1
1	1269	23870515	23959054	CNR2
1	55629	23959811	23963462	PNRC2
1	10772	23966445	23980463	SRSF10
1	127294	24056041	24112175	MYOM3
1	58985	24119771	24143285	IL22RA1
1	163702	24154157	24187275	IFNLR1
1	100289209	24191990	24194780	LOC100289209
1	57822	24319322	24364482	GRHL3
1	90529	24356999	24415097	STPG1
1	57185	24415750	24472983	NIPAL3
1	11123	24502351	24537020	RCAN3
1	400746	24556076	24609328	NCMAP
1	10250	24643103	24673281	SRRM1
1	25932	24745269	24844324	CLIC4
1	864	24899511	24965115	RUNX3
1	650612	25047307	25047933	LOC650612
1	25949	25222276	25232522	SYF2
1	57035	25242249	25247519	RSRP1
1	6007	25272486	25330445	RHD
1	23585	25338298	25362361	TMEM50A
1	6006	25361362	25420872	RHCE
1	55219	25430858	25500209	TMEM57
1	26119	25543580	25591211	LDLRAP1
1	57134	25617468	25786207	MAN1C1
1	100288240	25735208	25747339	LOC100288240
1	57190	25800176	25818222	SEPN1
1	646451	25815266	25816371	LOC646451
1	56181	25819906	25832942	MTFR1L
1	79000	25831913	25859458	AUNIP
1	164091	25861484	25875970	PAQR7
1	3925	25884186	25906877	STMN1
1	5051	25959767	25998172	PAFAH2
1	2134	26021775	26036464	EXTL1
1	7780	26038023	26046113	SLC30A2
1	84676	26051304	26067634	TRIM63
1	149420	26111165	26125548	PDIK1L
1	79927	26159020	26162628	FAM110D
1	51042	26169897	26170873	ZNF593
1	10256	26173472	26189884	CNKSR1
1	100289250	26186104	26190330	LOC100289250
1	378807	26190628	26202542	CATSPER4
1	64793	26234153	26279038	CEP85
1	83442	26279722	26281522	SH3BGRL3
1	91544	26282282	26318265	UBXN11
1	1043	26317920	26320523	CD52
1	55057	26321859	26354130	AIM1L
1	257101	26361634	26374532	ZNF683
1	729921	26363239	26367577	LOC729921
1	101928681	26372386	26375548	LOC101928681
1	79727	26410778	26429728	LIN28A
1	79947	26432282	26471306	DHDDS
1	3151	26472411	26476642	HMGN2
1	101928265	26492199	26495073	LOC101928265
1	6195	26529758	26575030	RPS6KA1
1	101928728	26692132	26696405	LOC101928728
1	8289	26696031	26782110	ARID1A
1	55650	26787963	26798403	PIGV
1	84243	26826710	26855720	ZDHHC18
1	2810	26863142	26864456	SFN
1	54707	26879382	26890378	GPN2
1	63906	26890488	26900471	GPATCH3
1	8431	26911484	26914076	NR0B2
1	10726	26921722	26946871	NUDC
1	126695	26949556	26960410	KDF1
1	646567	26985848	26986343	OSTCP2
1	388610	26993698	27000886	TRNP1
1	115572	27005020	27012842	FAM46B
1	646554	27016378	27025463	LOC646554
1	6548	27098809	27155130	SLC9A1
1	401945	27157919	27159648	LOC401945
1	23038	27234516	27308633	WDTC1
1	84065	27322145	27336400	TMEM222
1	84958	27341992	27353932	SYTL1
1	9064	27355179	27367054	MAP3K6
1	8547	27369110	27374824	FCN3
1	388611	27379106	27383333	CD164L2
1	2827	27392644	27395814	GPR3
1	10163	27404230	27490167	WASF2
1	27245	27534245	27603952	AHDC1
1	2268	27612289	27635216	FGR
1	2537	27666061	27672213	IFI6
1	199870	27725979	27762915	FAM76A
1	23673	27773183	27824452	STX12
1	5511	27830741	27851672	PPP1R8
1	9473	27872543	27886685	THEMIS2
1	6118	27891524	27914797	RPA2
1	27293	27934993	27959152	SMPDL3B
1	55113	27959993	27968093	XKR8
1	2140	27970344	28088661	EYA3
1	5724	28147166	28193936	PTAFR
1	22826	28200278	28233031	DNAJC8
1	93974	28236091	28238105	ATPIF1
1	83667	28259452	28282491	SESN2
1	100128789	28284985	28298139	LOC100128789
1	54797	28329002	28335967	MED18
1	65979	28369582	28500369	PHACTR4
1	100129624	28399376	28400452	LOC100129624
1	1104	28505943	28539196	RCC1
1	54952	28553017	28578545	TRNAU1AP
1	115273	28592200	28594586	RAB42
1	6883	28603096	28643101	TAF12
1	10691	28668728	28715603	GMEB1
1	51441	28736621	28769775	YTHDF2
1	4985	28812142	28863696	OPRD1
1	2035	28887091	29120046	EPB41
1	100289582	28907076	28908385	LOC100289582
1	100132870	28907586	28909644	LOC100132870
1	399474	29119425	29123909	TMEM200B
1	6429	29147738	29182125	SRSF4
1	51102	29192657	29230958	MECR
1	101928763	29198831	29237650	LOC101928763
1	10076	29236516	29326813	PTPRU
1	391025	29687220	29696027	LOC391025
1	100288450	29814633	29823398	LOC100288450
1	642621	30694579	30697985	LOC642621
1	4146	30711277	30723585	MATN1
1	7805	30732468	30757836	LAPTM5
1	9672	30869466	30908633	SDC3
1	9698	30931506	31065717	PUM1
1	100131664	30971154	30972180	LOC100131664
1	79570	31179745	31239887	NKAIN1
1	100288680	31191614	31194454	LOC100288680
1	9410	31259568	31296797	SNRNP40
1	51538	31296982	31365722	ZCCHC17
1	100288670	31347183	31351518	LOC100288670
1	2170	31365253	31373076	FABP3
1	347735	31409565	31434680	SERINC2
1	64129	31576485	31587689	TINAGL1
1	3061	31617686	31627613	HCRTR1
1	553115	31629862	31645237	PEF1
1	1307	31652247	31704167	COL16A1
1	576	31727111	31764047	BAI2
1	90853	31790422	31816051	SPOCD1
1	8073	31906421	31938387	PTP4A2
1	10657	32013694	32060859	KHDRBS1
1	55116	32072899	32102866	TMEM39B
1	23633	32108043	32176568	KPNA6
1	200081	32179695	32198285	TXLNA
1	79140	32200386	32205390	CCDC28B
1	55721	32205635	32208687	IQCC
1	149069	32209094	32216196	DCDC2B
1	56063	32214439	32222353	TMEM234
1	8668	32222370	32231604	EIF3I
1	84734	32247217	32248860	FAM167B
1	3932	32251239	32286165	LCK
1	3065	32292107	32333623	HDAC1
1	65108	32333829	32336239	MARCKSL1
1	100128071	32361270	32362243	FAM229A
1	81629	32362261	32364325	TSSK3
1	55108	32365103	32394461	BSDC1
1	100507229	32379178	32380751	LOC100507229
1	100128669	32443708	32446980	LOC100128669
1	642926	32447282	32454267	LOC642926
1	728116	32465057	32487859	ZBTB8B
1	653121	32539171	32605941	ZBTB8A
1	339487	32620820	32651000	ZBTB8OS
1	5928	32651148	32686211	RBBP4
1	81493	32679906	32702760	SYNC
1	57648	32741891	32774970	KIAA1522
1	8565	32775239	32818032	YARS
1	64766	32817442	32858879	S100PBP
1	100286999	32822553	32827391	LOC100286999
1	252995	32862268	32872492	FNDC5
1	3208	32886087	32894646	HPCA
1	113452	32894595	32901440	TMEM54
1	127544	32933864	32964872	RNF19B
1	204	33007940	33036911	AK2
1	113451	33081110	33120531	ADC
1	643045	33124380	33126137	LOC643045
1	55223	33145399	33182070	TRIM62
1	149076	33256307	33300720	ZNF362
1	127550	33306766	33321098	A3GALT2
1	1912	33323623	33431017	PHC2
1	100129200	33353113	33359417	LOC100129200
1	100505584	33416895	33417080	LOC100505584
1	653200	33419738	33420370	LOC653200
1	7579	33472626	33496505	ZSCAN20
1	643096	33493333	33495325	LOC643096
1	114784	33513999	34165842	CSMD2
1	728189	33668393	33669361	LOC728189
1	127540	33860475	33864791	HMGB4
1	84970	34166883	34219131	C1orf94
1	2709	34755047	34758512	GJB5
1	127534	34759741	34763724	GJB4
1	2707	34781189	34786366	GJB3
1	2701	34792958	34795750	GJA4
1	113444	34850362	34859816	SMIM12
1	58512	34865436	34925482	DLGAP3
1	100506144	34981526	34985347	ZMYM6NB
1	9204	34986165	35031968	ZMYM6
1	79830	35059786	35115859	ZMYM1
1	728260	35167665	35168864	LOC728260
1	6421	35176380	35193157	SFPQ
1	100129047	35213887	35215179	LOC100129047
1	100287174	35247872	35258631	LOC100287174
1	9202	35268850	35421944	ZMYM4
1	79932	35433490	35557670	KIAA0319L
1	100130633	35447127	35450948	LOC100130633
1	23154	35557792	35566779	NCDN
1	339488	35565863	35595328	TFAP2E
1	5690	35599541	35641844	PSMB2
1	127703	35713876	35719189	C1orf216
1	63967	35732112	35769950	CLSPN
1	643354	35795354	35795893	LOC643354
1	192670	35807630	35857890	AGO4
1	100128791	35808003	35812784	LOC100128791
1	26523	35883209	35929610	AGO1
1	192669	35930763	36056759	AGO3
1	642981	35972201	35974098	LOC642981
1	27285	36084075	36088276	TEKT2
1	54936	36088852	36093932	ADPRHL2
1	1296	36095239	36125704	COL8A2
1	27095	36136569	36156053	TRAPPC3
1	55700	36155965	36180849	MAP7D1
1	100289612	36200239	36201517	LOC100289612
1	9967	36224416	36305357	THRAP3
1	79729	36306288	36327943	SH3D21
1	55194	36322030	36324965	EVA1B
1	83931	36339619	36385927	STK40
1	84967	36393430	36397892	LSM10
1	127700	36417906	36450485	OSCP1
1	64960	36455761	36464439	MRPS15
1	1441	36466043	36483314	CSF3R
1	643417	36543805	36546403	LOC643417
1	728335	36604143	36624265	LOC728335
1	2899	36795527	37034243	GRIK3
1	100287265	36857590	36861824	LOC100287265
1	728387	37272358	37276052	LOC728387
1	100287202	37356527	37503568	LOC100287202
1	80149	37474518	37484377	ZC3H12A
1	64769	37489960	37514819	MEAF6
1	79753	37534449	37554344	SNIP1
1	7802	37556919	37566857	DNALI1
1	29889	37566812	37595985	GNL2
1	284654	37611350	37634923	RSPO1
1	54955	37681570	37692231	C1orf109
1	55143	37692401	37709719	CDCA8
1	284656	37715900	37765152	EPHA10
1	149175	37794049	37801606	MANEAL
1	653328	37794405	37794760	LOC653328
1	79693	37802942	37808193	YRDC
1	127687	37807801	37809454	C1orf122
1	4520	37809567	37859620	MTF1
1	3633	37860697	37947057	INPP5B
1	10946	37956975	37990341	SF3A3
1	2275	37996767	38005527	FHL3
1	51118	38012712	38024825	UTP11L
1	5453	38043851	38046778	POU3F1
1	100287787	38181640	38183858	LOC100287787
1	100287358	38464960	38471687	LOC100287358
1	64121	38838197	38859823	RRAGC
1	26292	38862490	38873378	MYCBP
1	81025	38874067	38881626	GJA9
1	54933	38885807	38941784	RHBDL2
1	79647	38991244	39006065	AKIRIN1
1	4725	39026295	39034636	NDUFS5
1	23499	39084167	39487138	MACF1
1	100131576	39098348	39114483	LOC100131576
1	643910	39319633	39321288	LOC643910
1	643314	39409504	39416482	KIAA0754
1	353500	39491646	39529869	BMP8A
1	8761	39560813	39576849	PABPC4
1	26508	39623431	39639676	HEYL
1	84618	39659121	39672038	NT5C1A
1	51440	39678648	39691710	HPCAL4
1	10450	39738845	39763914	PPIE
1	656	39758231	39788861	BMP8B
1	64064	39769525	39771348	OXCT2
1	101929536	39788982	39790171	LOC101929536
1	100129342	39814165	39821549	LOC100129342
1	54802	39841031	39883505	TRIT1
1	4610	39895424	39902015	MYCL
1	100288731	39949529	39966319	LOC100288731
1	84879	39955112	39969968	MFSD2A
1	100130494	39990431	39991357	LOC100130494
1	10487	40040583	40072649	CAP1
1	5538	40072710	40097470	PPT1
1	6018	40161369	40240921	RLF
1	127391	40247901	40251693	TMCO2
1	100287437	40254654	40255843	LOC100287437
1	10269	40258050	40294184	ZMPSTE24
1	1298	40300490	40317693	COL9A2
1	100289331	40363341	40366870	LOC100289331
1	64744	40373706	40423326	SMAP2
1	65243	40450102	40463718	ZFP69B
1	339559	40477215	40496343	ZFP69
1	64789	40508719	40516556	EXO5
1	127396	40531561	40548169	ZNF684
1	9783	40620680	40665652	RIMS3
1	4802	40691570	40771603	NFYC
1	9132	40784012	40840452	KCNQ4
1	163732	40861056	40862346	CITED4
1	644137	40928639	40939924	LOC644137
1	1503	40979335	41012565	CTPS1
1	200172	41015597	41023444	SLFNL1
1	22955	41027199	41242143	SCMH1
1	100132074	41361656	41383591	FOXO6
1	100131056	41475987	41502811	LOC100131056
1	1907	41478775	41484673	EDN2
1	59269	41506365	42035925	HIVEP3
1	2981	42153421	42155824	GUCA2B
1	2980	42162691	42164724	GUCA2A
1	22887	42176539	42335877	FOXJ3
1	284716	42380797	42424229	RIMKLA
1	84217	42430329	42456267	ZMYND12
1	79717	42456341	42473381	PPCS
1	728621	42534889	42654664	CCDC30
1	10465	42658358	42676758	PPIH
1	4904	42682389	42702353	YBX1
1	149461	42733093	42740254	CLDN19
1	64175	42746335	42767084	LEPRE1
